# 已删除：在 VNDB 中找不到的作品（字符行计数）
count	work
8	咖啡厅夫妻的愉快抗病生活
8	制服女友
8	煌星的胜利女神
8	最强☆天使 沙利叶！
8	洗脳学園 ~呪人の壺~
8	FORTUNE×WORLD～僕らがゲームを作る理由～
8	北海道连续杀人事件 消失在鄂霍次克 ～追忆流冰 流泪人偶～
8	悪役令嬢はメンデレ王子にHな拷問されるなんてバグですか
8	淫染の退魔鬼
8	谜路 鸣美泽事件
8	HAL -Endless longing Under the moonlight.-
8	RIBON PRINCE
8	逆梦的危境幻域
8	书恋与君：美少女教我追系花
8	へべれけ! ～すすめ 赤軍少女旅団!～
8	小日向柚月と初夜したいっ！〜けもみみ神様と湯けむり恋模様〜
8	そして僕らは、 Mixed Edition
8	恋愛実習 ～教師になる方法～
8	犯人はまだ寮の中にいる!!弐
7	フルアニ
7	伯爵と妖精 ～夢と絆に想いを馳せて～
7	女神注意报
7	やきたてクロワッサン～Autumn leafの3姉妹～
7	飛ぶ山羊はさかさまの木の夢を見るか
7	幻想マネージュ
7	摇曳露营△ Have a nice day!
7	さくらんぼシュトラッセ
7	纯爱声放送
7	你所期望的永远〜Rumbling hearts〜
7	超昂天使
7	秋之回忆：勾指起誓的记忆  两人的风流庵
7	スト☆マニ ～Strobe☆Mania～
7	驯兽师与王子殿下 ～Snow Bride～
7	Vitamin X Detective B6
7	玻璃心公主
7	图书室的Neversista 「四月的鱼～Poisson d'avril～」
7	月界金融末世录 第一章
7	心跳魔女神判2
7	蒼穹のクレイドル −人形学園調教記−
7	欲望格斗2
7	PureMail -ピュアメール-
7	ALICE=ALICE THE GAME
7	僕と君の夏休み
7	こいらぼ［KOI-LABO.］
7	オルフレール
7	蒲公英的约定-吹向你的风-
7	sai愛+愛
7	3D定制女仆2
7	祝姬
7	百曲
7	彼方木棉
7	无夜之国2 ～新月的新娘～
7	月明りに悶える孕女
7	夏花的轨迹——A summer promise to forever
7	被不良少年盯上
7	梦幻岛症候群
7	牧农物语～科罗娜与阿尔加的H奋斗记～
7	恋与制作人
7	不落城
7	胁迫DVG ～被囚禁的明日～
7	寄甡
7	エロトマニア
7	心火の夜寵
7	未定事件簿
7	鬼与刀的唯才主义
7	ティアマトの星影
7	心理创伤人鱼
7	迷雾列车少女～从雾之世界的车窗～
7	百诘怪轶与金鱼
7	Thanatos -タナトス-
7	寝取新妻莫妮卡～傲娇的妻子和不正经的打工～
7	夏恋幻梦
7	神殻戦姫アージュスレイブ　～淫紋に堕ちるエルフ姉妹～
7	栄西と１０８人の男達２～Be Right Back
7	アカシア通り一番地
7	お仕事→社長（本日付け）
7	寂寞神明的心愿手记
7	7 Girls War：女英雄们的堕落
7	放課後の怪談 彼らの棲む場所
7	女拳主义F-ist
7	银河天使2 绝对领域之门
7	Battle Four Re.
7	本当にあった怖い話。
7	クラブ・スーサイド完全版
7	若不疯魔何言爱过
7	ロブ・ロイの心臓
7	Re:quiem［Spring is in the air.］
7	つきあかり
7	炎多留 II
7	男子高校野球拳
7	君に捧げるモノトニア
7	Chevalier～最強騎士令嬢はコワモテ王太子の溺愛に困惑する～
7	すだまリレイシヨン
7	隐居军师的救国战略
7	マオウさまとゲボクくん
7	艾妮希雅与契约纹 ～马蹄大街的娇弱圣女～
7	神椿市建設中。REGENERATE
7	群青孤儿战记~堕落的无垢少女~
7	亡灵女仆
7	関守神～再演～
7	奋斗吧！播种牧场
7	ドラゴンブラッド～竜の呪いと精液で神に復讐を誓うRPG～
7	Imperial knights
7	星条青玉 Complete Edition
7	桃花貴人
7	プライベート･ライフ
7	社团学姊
7	Forestia～小镇的牧场生活～
7	とける風花と白うさぎ
7	忘却のカノン
7	ゆるゆるサバイバル ～全裸島の少女たち～
7	キモダメシ
7	ストレイ・シープと死者の声
7	Last12〜勇者的粉色育儿日记〜
6	月姬格斗 MBAC
6	タイムリープぱらだいす
6	すくみず2 ～泳・げ・な・い～
6	フーリガン
6	D.C.5 ～ダ・カーポ5～
6	Anomie
6	维新恋华 龙马外传
6	若愿望成真
6	とらぶるツインズ－MY SWEET BROTHERS－
6	原宿侦探学园：铁木
6	恋は校則（ルール）に縛られない！
6	虹色旋律
6	这间活动室被不回家部占领了携带版 学园夏日战争篇
6	かがち様お慰め奉ります 〜寝取られ村淫夜噺〜
6	神曲奏界ポリフォニカ THE BLACK ～EPISODE 1＆2 BOX EDITION～
6	肌肉锻炼应援游戏 燃烧！
6	向日葵：天空鹅卵石
6	永恒之夏
6	琉璃的牢笼
6	Once'
6	逆转吉原
6	巨乳幻想外传2 after
6	圆环的记忆
6	逆转吉原～扇屋编～
6	东津萌米
6	少女義経伝・弐 〜刻を超える契り〜
6	まじかりて！
6	斎国華譚
6	擒星志愿
6	H（アッシュ）～いつかたどりつけた場所～
6	M.E.s.－同级生女仆教育－
6	粘膜純愛～KISS×900～
6	七人杀阵 - Seven Sacrifices
6	致人类
6	弊社、モブおじさん～愛のスパイス咥えます～
6	宝藏猎人克莱尔
6	时空中的绘旅人
6	他人世界末
6	掌门太忙
6	苍色之光与魔剑锻造师
6	UNSHOCK -アンショック-
6	少年よ雄乳を搾れ boys CHIKU-be ambitious
6	光与夜之恋
6	IDOL STEP!
6	NO SALVATION
6	CROSS†CHANNEL 交错频道 ～For all people～
6	学園地獄アルカディア
6	Re;quartz零度◆後日談
6	グレイウイルス
6	妹尾薫風舞踏祭 -Menuet-
6	金曜日の海と太陽
6	鎖と愛と悦楽を
6	VenusBlood HOLLOW International
6	狐狸在等我 花
6	Blind…
6	Inclusion～水晶の振子～
6	昨日ノ夢ヲ夜ニ帰シ
6	Answer
6	WH Heaven/Hell
6	Crescent
6	夜想曲～眠れぬ夜のためのノクターン～
6	ヌシアルハナ・ハルノヨ
6	传承勇者成名录
6	血根
6	天作之合的我们 1
6	山茶列车
6	Knight of Trust
6	千間廉太郎の事件簿　死者を呼ぶ炎
6	灼熱と熱砂のはざまで
6	THE★冷蔵庫
6	E.G.G
6	乡间拾趣夏日谈
6	女杰・和弦 -Heroines' Chord-
6	耽美な鎖
6	DeadFlower-グリンラトアの紅い華-
6	【蒼魔導士ルーナ】～天才魔導士と伝説の魔導士～
6	蝶葬
6	孤僻爱情喜剧
6	就労！アクマ・デ・カンパニー
6	后宫！牧场生活
6	STEP UP!!
6	恋与深空
6	INNOCENT RULES
